13
-100,28.8675134595
0,28.8675134595
100,28.8675134595
-150,-57.735026919
-50,115.4700538379438647
50,115.4700538379438647
150,115.4700538379438647
-50,-57.735026919
50,-57.735026919
-100,-144.3375672974438647
0,-144.3375672974438647
100,-144.3375672974438647
0,-28.8675134595
-150,0
-50,0
50,0
150,0
-100,86.6025403784438647
0,86.6025403784438647
100,86.6025403784438647
200,86.6025403784438647
-150,173.2050807568877294
-50,173.2050807568877294
50,173.2050807568877294
150,173.2050807568877294
-200,-86.6025403784438647
-100,-86.6025403784438647
0,-86.6025403784438647
100,-86.6025403784438647
-150,-173.2050807568877294
-50,-173.2050807568877294
50,-173.2050807568877294
150,-173.2050807568877294
